                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.53531,                 0.4462,                 1.0011,                0.99501,                      1,                  0.995,                0.90319,                0.41579,                0.27197,                 1.0076,              0.0010989,              0.0010989,              0.0010989
                     72,                 0.5619,                0.45521,                 1.0091,                0.99792,                0.99934,                  0.995,                0.90106,                0.42185,                0.27135,                0.97721,              0.0010942,              0.0010942,              0.0010942
                     73,                0.59077,                0.45471,                   1.02,                0.99662,                0.99882,                  0.995,                0.89343,                0.43067,                0.27352,                0.97575,              0.0010895,              0.0010895,              0.0010895
                     74,                0.54382,                0.45718,                0.99341,                0.99063,                0.97106,                0.98048,                0.89215,                0.41701,                0.28679,                0.96882,              0.0010848,              0.0010848,              0.0010848
                     75,                0.57612,                0.45414,                  1.007,                0.99065,                0.97053,                0.99213,                0.90398,                0.42704,                0.27501,                0.94934,                0.00108,                0.00108,                0.00108
                     76,                0.54576,                0.45879,                 1.0023,                0.99667,                      1,                  0.995,                0.87612,                0.43195,                0.26006,                0.99268,              0.0010753,              0.0010753,              0.0010753
                     77,                0.55137,                0.43857,                  1.006,                0.99688,                0.99698,                  0.995,                0.91781,                0.42206,                0.27769,                 0.9723,              0.0010706,              0.0010706,              0.0010706
                     78,                0.57403,                0.44631,                 1.0066,                0.99724,                0.99981,                  0.995,                0.88772,                 0.4436,                0.28368,                0.97934,              0.0010659,              0.0010659,              0.0010659
                     79,                0.55514,                0.44166,                 1.0105,                0.99687,                0.99833,                  0.995,                0.90884,                0.44385,                0.26969,                0.99272,              0.0010612,              0.0010612,              0.0010612
                     80,                0.57498,                0.47618,                 1.0368,                0.94398,                0.98304,                0.99089,                0.89206,                0.42971,                 0.3114,                0.95086,              0.0010565,              0.0010565,              0.0010565
                     81,                0.55605,                0.44518,                 1.0084,                0.96645,                0.96797,                0.98705,                0.89457,                0.42877,                0.30419,                 0.9608,              0.0010517,              0.0010517,              0.0010517
                     82,                0.55678,                0.45575,                 1.0001,                0.97136,                0.99498,                0.99475,                0.90469,                0.41311,                0.28987,                0.95002,               0.001047,               0.001047,               0.001047
                     83,                0.53891,                0.44042,                 1.0152,                0.98502,                      1,                0.99488,                 0.9083,                 0.4103,                0.25912,                0.97302,              0.0010423,              0.0010423,              0.0010423
                     84,                0.53993,                0.43577,                 1.0063,                 0.9921,                0.96752,                0.98454,                 0.8964,                0.42528,                0.27481,                0.97752,              0.0010376,              0.0010376,              0.0010376
                     85,                0.54606,                0.44625,                 1.0074,                  0.988,                0.96597,                0.99344,                0.89447,                0.49424,                0.28835,                 1.0279,              0.0010329,              0.0010329,              0.0010329
                     86,                 0.5252,                0.43536,                0.99596,                0.98788,                0.97222,                0.98607,                0.89996,                0.42627,                0.28856,                0.95368,              0.0010282,              0.0010282,              0.0010282
                     87,                0.54417,                0.46774,                 1.0024,                0.98861,                0.99911,                0.99488,                0.88788,                 0.4458,                0.28165,                0.97071,              0.0010234,              0.0010234,              0.0010234
                     88,                0.53039,                0.43232,                0.98989,                0.99738,                      1,                  0.995,                0.89628,                0.42589,                0.24746,                0.96317,              0.0010187,              0.0010187,              0.0010187
                     89,                0.51852,                0.43941,                0.99589,                0.96776,                 0.9988,                  0.995,                0.88991,                0.43969,                0.27424,                0.99935,               0.001014,               0.001014,               0.001014
                     90,                0.53926,                0.44912,                0.99901,                0.99465,                      1,                  0.995,                0.89913,                0.43104,                0.25284,                0.99444,              0.0010093,              0.0010093,              0.0010093
                     91,                0.52681,                0.42895,                0.99739,                0.99774,                0.99844,                  0.995,                 0.9132,                0.40958,                0.23462,                0.97638,              0.0010046,              0.0010046,              0.0010046
                     92,                0.51369,                 0.4529,                0.99394,                0.97672,                0.99806,                0.99426,                0.91057,                0.41005,                0.26406,                0.95241,             0.00099987,             0.00099987,             0.00099987
                     93,                0.53187,                0.45288,                0.98717,                0.97988,                0.99375,                0.99451,                0.90548,                0.40098,                0.32243,                0.94387,             0.00099516,             0.00099516,             0.00099516
                     94,                0.52746,                0.42891,                 1.0031,                0.99827,                0.99983,                  0.995,                0.87243,                0.45034,                0.29137,                0.99307,             0.00099044,             0.00099044,             0.00099044
                     95,                0.51635,                0.43497,                0.98667,                0.98364,                0.99845,                0.99494,                0.91036,                 0.4197,                0.27724,                0.98433,             0.00098572,             0.00098572,             0.00098572
                     96,                0.54633,                0.42397,                0.99777,                0.98309,                0.99869,                0.99482,                 0.9187,                0.39143,                0.27427,                0.96604,             0.00098101,             0.00098101,             0.00098101
                     97,                0.53442,                0.43408,                0.99596,                0.99822,                      1,                  0.995,                0.91631,                0.40408,                0.24618,                0.95637,             0.00097629,             0.00097629,             0.00097629
                     98,                 0.5244,                0.40958,                0.98382,                0.99749,                0.99675,                  0.995,                0.90957,                0.41712,                0.24575,                  0.982,             0.00097158,             0.00097158,             0.00097158
                     99,                0.50747,                0.40518,                0.97612,                0.99837,                0.99938,                  0.995,                0.91668,                0.39423,                 0.2296,                0.94626,             0.00096686,             0.00096686,             0.00096686
                    100,                0.52116,                0.43554,                0.99266,                 0.9925,                      1,                0.99494,                0.90069,                0.45667,                0.26798,                0.96055,             0.00096215,             0.00096215,             0.00096215
