                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.34068,                0.28601,                 0.9669,                0.94774,                 0.9686,                0.96454,                0.86467,                 0.5669,                0.24453,                 1.1335,             0.00078407,             0.00078407,             0.00078407
                    109,                0.34497,                0.29249,                0.96612,                0.96937,                0.96968,                0.97675,                 0.8811,                0.56973,                0.22384,                 1.1271,             0.00077582,             0.00077582,             0.00077582
                    110,                0.33764,                0.29376,                0.96494,                  0.962,                0.96344,                 0.9614,                0.86456,                0.57847,                0.24738,                  1.151,             0.00076757,             0.00076757,             0.00076757
                    111,                0.32909,                0.28304,                0.96204,                0.94549,                0.96921,                0.97172,                0.87632,                0.56819,                 0.2449,                 1.1526,             0.00075932,             0.00075932,             0.00075932
                    112,                0.33994,                0.29697,                0.96248,                0.96935,                0.96621,                 0.9511,                0.85447,                0.55614,                0.22563,                 1.1441,             0.00075107,             0.00075107,             0.00075107
                    113,                0.33797,                0.28706,                0.96003,                0.97113,                0.96751,                0.95133,                0.85511,                0.58087,                0.22831,                 1.1903,             0.00074282,             0.00074282,             0.00074282
                    114,                0.33964,                0.29306,                0.96664,                0.96369,                0.96878,                0.94896,                0.84183,                0.58472,                0.23471,                 1.1734,             0.00073456,             0.00073456,             0.00073456
                    115,                0.33714,                0.29227,                0.96486,                0.96174,                0.96878,                0.94963,                0.84364,                0.57717,                0.24331,                 1.1645,             0.00072631,             0.00072631,             0.00072631
                    116,                0.32803,                0.29215,                0.95709,                0.96892,                0.97061,                0.94731,                0.84801,                0.57578,                0.23868,                 1.1709,             0.00071806,             0.00071806,             0.00071806
                    117,                0.33512,                0.28837,                0.96247,                0.96782,                0.97368,                0.95429,                0.85414,                0.56501,                0.23397,                 1.1695,             0.00070981,             0.00070981,             0.00070981
                    118,                0.32687,                0.27952,                0.96146,                 0.9656,                 0.9673,                0.95124,                0.84698,                0.60865,                 0.2481,                 1.2333,             0.00070156,             0.00070156,             0.00070156
                    119,                0.32041,                0.27072,                0.95954,                0.96461,                0.96566,                0.94971,                0.84979,                0.56699,                0.25535,                 1.1359,             0.00069331,             0.00069331,             0.00069331
                    120,                0.33189,                0.28672,                0.95932,                0.94606,                 0.9883,                0.98025,                 0.8747,                0.56055,                0.26358,                 1.1337,             0.00068505,             0.00068505,             0.00068505
                    121,                0.32732,                0.27472,                0.95735,                0.96504,                  0.969,                0.95154,                  0.841,                0.58752,                0.25741,                  1.158,              0.0006768,              0.0006768,              0.0006768
                    122,                0.32821,                0.27515,                0.96125,                0.94928,                0.96612,                0.96257,                0.84216,                0.59299,                0.28465,                 1.1555,             0.00066855,             0.00066855,             0.00066855
                    123,                0.32199,                 0.2789,                0.95764,                0.94694,                0.95725,                0.96579,                0.86201,                0.58652,                0.26755,                 1.1673,              0.0006603,              0.0006603,              0.0006603
                    124,                0.32373,                 0.2775,                0.96181,                0.94812,                0.96878,                0.95773,                0.86455,                0.56482,                0.25065,                 1.1546,             0.00065205,             0.00065205,             0.00065205
                    125,                0.32361,                0.26943,                0.95366,                0.94597,                0.96915,                0.96358,                0.86962,                 0.5861,                  0.249,                 1.1726,              0.0006438,              0.0006438,              0.0006438
                    126,                 0.3292,                0.29281,                0.95927,                0.96943,                0.96603,                  0.955,                 0.8592,                0.58119,                0.24341,                 1.1617,             0.00063554,             0.00063554,             0.00063554
                    127,                0.32343,                 0.2704,                0.95941,                 0.9691,                0.96307,                0.94891,                0.83762,                0.57814,                0.25808,                 1.1448,             0.00062729,             0.00062729,             0.00062729
